9
9
11  8  5 13  7  8 15  6 15  7  0  0  0  0  0  3  
 5  9 12  4 12  3 10  3  4 13  0  0  0  0  0  2  
11  9 11 12 13 12  8 13  7 12  0  0  0  0  0  3 
13  3  4 15 13  9  7 13 12  6  0  0  0  0  0  3  
 4 15 13 14  3 10 14 10 10 15  0  0  0  0  0  3  
 7  6  8 15 15  5 12  7  3  4  0  0  0  0  0  3  
 4 13  5  6 13 15 12  5 13  9  0  0  0  0  0  3  
 8 14  8  6 12  8 13 11 15  8  0  0  0  0  0  3  
10  7 11  3  7 11  6  4  3  7  0  0  0  0  0  3 
 5  4  5  7  7 15  7  3  4  4  0  0  0  0  0  3  
