4
14
 7  5  4  8  9  5  8  4 12  5 11  5  8  6 10  2  
 9 11  3  4  4 13  7  9 13  3  3  9  7 15  5  2  
 7  7  8  8 12 14 10  5 15  7  7 11 10 12 14  1  
 4  5  9  5  7 11  3 12  4 13 12  5  7  3  5  2  
 9  8 10 14 14  6 12  9  9 12 14 13  7  8 10  2  
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
