4 
14 
15 12  4 14 13  8  6 15  4  6  3  5 15 14  4  3  
14 12  7  7 10 15  5 12  5  9  9 14 13  8  3  3  
 5  8 12  7  6  9 12  9  8 14 13  9  4 12  8  2  
 6 10  4 10 15 11 10  4  8 13 10 15 11  8  7  3  
12 11 12  8 15  3 15 12 10  8 11  7 14 12  3  3  
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
